address,lastTradeTime_EST,decimals,lastTradeUnixTime,liquidity,mc,name,symbol,v24hChangePercent,v24hUSD,token_link
ML6CUJc3PypAEMcbgM2CcnPzzbBSdBMSN6cwqCGzBEJ,2024-04-21 09:00:40-04:00,8.0,1713704440,7439.476133231716,11050.618345407993, HALAL Certified Token,HALAL,,4239564.005435392,https://birdeye.so/token/ML6CUJc3PypAEMcbgM2CcnPzzbBSdBMSN6cwqCGzBEJ
CPrC6YGJ1HF37EwheE5Zz1a2jDsF3H4tQw9rLFDpeqEH,2024-04-21 08:57:28-04:00,8.0,1713704248,5155.276297273747,6088.682604304676,Rubik's Cube,CUBE,393.38775003593076,3693717.515095758,https://birdeye.so/token/CPrC6YGJ1HF37EwheE5Zz1a2jDsF3H4tQw9rLFDpeqEH
J6WCNje1rTb6tdJmpFMXCB2AvWfRHiDi6sC734tAJNDV,2024-04-21 08:45:10-04:00,8.0,1713703510,3736.388379262481,3078.0765921166926,Bonkid,BONKID,,3531847.5040005133,https://birdeye.so/token/J6WCNje1rTb6tdJmpFMXCB2AvWfRHiDi6sC734tAJNDV
J5ZrCJ3HbxHcHr2juhFHPBgJExiLUwHJH43L53zAFyJS,2024-04-21 08:41:11-04:00,8.0,1713703271,3009.0699345011326,1975.0684610759401,Ten Cents,LIBERTY,,3341055.5727904732,https://birdeye.so/token/J5ZrCJ3HbxHcHr2juhFHPBgJExiLUwHJH43L53zAFyJS
A5vM2zSVextRGfktZ6XiD6kxK8g26cx4Lq7a3389UktP,2024-04-21 09:02:02-04:00,6.0,1713704522,6639.801369007457,8165.485980319701,ELONWIFBLUNT,BLUNT,,2669742.4100151486,https://birdeye.so/token/A5vM2zSVextRGfktZ6XiD6kxK8g26cx4Lq7a3389UktP
ArkaTwEheq8iHpBLwgqK2HxqCgRdtvdqyJvkY7PyZstS,2024-04-21 09:00:25-04:00,6.0,1713704425,5400.2736419633,10526.011217229987,Weedo,WEEDO,-2.529070287661115,1149573.4211124184,https://birdeye.so/token/ArkaTwEheq8iHpBLwgqK2HxqCgRdtvdqyJvkY7PyZstS
42zH2WENMrDMxUHDj9eou8HjkRVes29MwG7muSDmRbzf,2024-04-21 08:52:37-04:00,6.0,1713703957,8491.335300798997,5901.1846862397,unicorn cat,UNICAT,,1115743.5637247632,https://birdeye.so/token/42zH2WENMrDMxUHDj9eou8HjkRVes29MwG7muSDmRbzf
Hkj1qpL5ooFG31RcHMHkQbQFEaujE8ALAoEHt5yKK5dh,2024-04-21 08:56:52-04:00,6.0,1713704212,3342.943627477866,4131.860350464982,MCrijuana,MCWEED,,1110505.2851666538,https://birdeye.so/token/Hkj1qpL5ooFG31RcHMHkQbQFEaujE8ALAoEHt5yKK5dh
HFDCzifMk9wPv1cavPLFwjZPMAdJD72rZoRPoEGPqqSs,2024-04-21 09:01:34-04:00,6.0,1713704494,4011.306285593406,15629.329419379637,DORK QUEEN,DORKQ,,991361.38062859,https://birdeye.so/token/HFDCzifMk9wPv1cavPLFwjZPMAdJD72rZoRPoEGPqqSs
FsNhHyVtbeWRmFMixyzRi34vpto1eHWRPnRLsuNYHLKt,2024-04-21 08:57:02-04:00,6.0,1713704222,11430.644087387174,10687.227755727748,The Greatest Of All Time,GOAT,,972443.0472282814,https://birdeye.so/token/FsNhHyVtbeWRmFMixyzRi34vpto1eHWRPnRLsuNYHLKt
7XJiwLDrjzxDYdZipnJXzpr1iDTmK55XixSFAa7JgNEL,2024-04-21 08:58:52-04:00,6.0,1713704332,4603.00809762172,4099.59092395233,360noscope420blazeit,MLG,,945847.7791299596,https://birdeye.so/token/7XJiwLDrjzxDYdZipnJXzpr1iDTmK55XixSFAa7JgNEL
YZdScY6yT26xNJPBoi9BL1WjZqYAScr39MmPeZmQRe7,2024-04-21 08:23:49-04:00,8.0,1713702229,2160.268590585768,1275.594079716647,Degen Apeing,$DAPE,,944575.8088607872,https://birdeye.so/token/YZdScY6yT26xNJPBoi9BL1WjZqYAScr39MmPeZmQRe7
ABsS3oGRmP123c49PVp9gaN9frmzqGv6E9AYL2mJDRc,2024-04-21 08:58:58-04:00,6.0,1713704338,10276.42732517789,9431.752183080293,Rage Cat,RAGE,,929213.8310014701,https://birdeye.so/token/ABsS3oGRmP123c49PVp9gaN9frmzqGv6E9AYL2mJDRc
TaiBhNZHpGTnCWM3qZeAdNPgcADDqQGckHYCm7Y2Tuu,2024-04-21 09:00:40-04:00,8.0,1713704440,7692.456033587489,9653.294489702223,Runestone,RUNE,51.59209632920817,844486.6021433335,https://birdeye.so/token/TaiBhNZHpGTnCWM3qZeAdNPgcADDqQGckHYCm7Y2Tuu
AFtB8hM5sY1F7uinDFq6bpGnSBe4okgqL361TNrTjKm5,2024-04-21 09:00:19-04:00,9.0,1713704419,9259.870592567073,18712.867370138632,dogwifblunt,BLUNT,-69.5801532530334,777259.1007977142,https://birdeye.so/token/AFtB8hM5sY1F7uinDFq6bpGnSBe4okgqL361TNrTjKm5
49rZGawnSxuCaY61gMMEweABjNvPzwW62Av7R23fJ3CU,2024-04-21 09:01:06-04:00,9.0,1713704466,4548.472491954231,6681.0627560662615,boof,BOOF,,742335.4986476087,https://birdeye.so/token/49rZGawnSxuCaY61gMMEweABjNvPzwW62Av7R23fJ3CU
EbwaqU5RKbLXDHSaUTFAtKBhZvikxDtuCsuvx7Gedg6F,2024-04-21 08:11:27-04:00,6.0,1713701487,2838.9399130246047,2320.476104651097,DogWifBong,BONG,,736558.9440280771,https://birdeye.so/token/EbwaqU5RKbLXDHSaUTFAtKBhZvikxDtuCsuvx7Gedg6F
ExL72PREwYg2qB5dohc9w3ZQt5pyVzoXpWSbjroz4LFk,2024-04-21 09:01:39-04:00,6.0,1713704499,4286.938801558183,5180.8469543913925,SCHRÖDINGER'S CAT,$SDCAT,,671959.2159456487,https://birdeye.so/token/ExL72PREwYg2qB5dohc9w3ZQt5pyVzoXpWSbjroz4LFk
8Hkj6mzjc4if2e1xHBLLQggFreQKpbVk7SsYzw6nLtcx,2024-04-21 08:52:21-04:00,9.0,1713703941,4616.508924166314,6285.759268503903,PEPE420,PEPE420,-50.877388811170135,645844.2557894195,https://birdeye.so/token/8Hkj6mzjc4if2e1xHBLLQggFreQKpbVk7SsYzw6nLtcx
BPduVfvucinVoaAeBsTRLt7TbaVH2xULrwusGXTNo2c2,2024-04-21 08:46:35-04:00,6.0,1713703595,8886.811851188353,7439.519754086989,Fwends,FWENDS,,616208.396198751,https://birdeye.so/token/BPduVfvucinVoaAeBsTRLt7TbaVH2xULrwusGXTNo2c2
Eb54AAR6zSN18WLQWopeR5mDkseynLtrTrT2dVh2Jjzg,2024-04-21 08:51:02-04:00,6.0,1713703862,10011.673622308874,9414.071864504956,Book of Weed,BOW,,560203.6098301129,https://birdeye.so/token/Eb54AAR6zSN18WLQWopeR5mDkseynLtrTrT2dVh2Jjzg
2Z4uRExQo8sULNJ2ZckYe98VVAVDUTDXojfSdUTfCSYR,2024-04-21 08:52:01-04:00,6.0,1713703921,6438.190299122976,4046.6594998708183,Gengz Kan,GENGZ,,437656.7851999887,https://birdeye.so/token/2Z4uRExQo8sULNJ2ZckYe98VVAVDUTDXojfSdUTfCSYR
J4MQRudyTuS4pN3Ff7PWuQPDjinVmQ7duhARaGaXt5Xx,2024-04-21 08:50:22-04:00,6.0,1713703822,2228.55377544108,1540.0760010130393,RETOOT,RETOOT,,432560.1744503606,https://birdeye.so/token/J4MQRudyTuS4pN3Ff7PWuQPDjinVmQ7duhARaGaXt5Xx
GbCFL8ozFPTMxyX41BDTG2qjPmAdtEGxC46FqM8zyCHG,2024-04-21 08:37:41-04:00,6.0,1713703061,6632.197635376066,4142.025290853285,cait wif hat,cait,,432224.00739502243,https://birdeye.so/token/GbCFL8ozFPTMxyX41BDTG2qjPmAdtEGxC46FqM8zyCHG
