address,lastTradeTime_EST,decimals,lastTradeUnixTime,liquidity,mc,name,symbol,v24hChangePercent,v24hUSD,token_link
ML6CUJc3PypAEMcbgM2CcnPzzbBSdBMSN6cwqCGzBEJ,2024-04-21 09:00:40-04:00,8.0,1713704440,7439.476133231716,11050.618345407993, HALAL Certified Token,HALAL,,4239564.005435392,https://birdeye.so/token/ML6CUJc3PypAEMcbgM2CcnPzzbBSdBMSN6cwqCGzBEJ
J6WCNje1rTb6tdJmpFMXCB2AvWfRHiDi6sC734tAJNDV,2024-04-21 08:45:10-04:00,8.0,1713703510,3736.388379262481,3078.0765921166926,Bonkid,BONKID,,3531847.5040005133,https://birdeye.so/token/J6WCNje1rTb6tdJmpFMXCB2AvWfRHiDi6sC734tAJNDV
J5ZrCJ3HbxHcHr2juhFHPBgJExiLUwHJH43L53zAFyJS,2024-04-21 08:41:11-04:00,8.0,1713703271,3009.0699345011326,1975.06846107594,Ten Cents,LIBERTY,,3341055.5727904732,https://birdeye.so/token/J5ZrCJ3HbxHcHr2juhFHPBgJExiLUwHJH43L53zAFyJS
A5vM2zSVextRGfktZ6XiD6kxK8g26cx4Lq7a3389UktP,2024-04-21 09:02:02-04:00,6.0,1713704522,6639.801369007457,8165.485980319701,ELONWIFBLUNT,BLUNT,,2669742.4100151486,https://birdeye.so/token/A5vM2zSVextRGfktZ6XiD6kxK8g26cx4Lq7a3389UktP
42zH2WENMrDMxUHDj9eou8HjkRVes29MwG7muSDmRbzf,2024-04-21 08:52:37-04:00,6.0,1713703957,8491.335300798997,5901.1846862397,unicorn cat,UNICAT,,1115743.5637247632,https://birdeye.so/token/42zH2WENMrDMxUHDj9eou8HjkRVes29MwG7muSDmRbzf
Hkj1qpL5ooFG31RcHMHkQbQFEaujE8ALAoEHt5yKK5dh,2024-04-21 08:56:52-04:00,6.0,1713704212,3342.943627477866,4131.860350464982,MCrijuana,MCWEED,,1110505.2851666538,https://birdeye.so/token/Hkj1qpL5ooFG31RcHMHkQbQFEaujE8ALAoEHt5yKK5dh
HFDCzifMk9wPv1cavPLFwjZPMAdJD72rZoRPoEGPqqSs,2024-04-21 09:01:34-04:00,6.0,1713704494,4011.306285593406,15629.329419379636,DORK QUEEN,DORKQ,,991361.38062859,https://birdeye.so/token/HFDCzifMk9wPv1cavPLFwjZPMAdJD72rZoRPoEGPqqSs
FsNhHyVtbeWRmFMixyzRi34vpto1eHWRPnRLsuNYHLKt,2024-04-21 08:57:02-04:00,6.0,1713704222,11430.644087387174,10687.227755727748,The Greatest Of All Time,GOAT,,972443.0472282814,https://birdeye.so/token/FsNhHyVtbeWRmFMixyzRi34vpto1eHWRPnRLsuNYHLKt
7XJiwLDrjzxDYdZipnJXzpr1iDTmK55XixSFAa7JgNEL,2024-04-21 08:58:52-04:00,6.0,1713704332,4603.00809762172,4099.59092395233,360noscope420blazeit,MLG,,945847.7791299596,https://birdeye.so/token/7XJiwLDrjzxDYdZipnJXzpr1iDTmK55XixSFAa7JgNEL
YZdScY6yT26xNJPBoi9BL1WjZqYAScr39MmPeZmQRe7,2024-04-21 08:23:49-04:00,8.0,1713702229,2160.268590585768,1275.594079716647,Degen Apeing,$DAPE,,944575.8088607872,https://birdeye.so/token/YZdScY6yT26xNJPBoi9BL1WjZqYAScr39MmPeZmQRe7
ABsS3oGRmP123c49PVp9gaN9frmzqGv6E9AYL2mJDRc,2024-04-21 08:58:58-04:00,6.0,1713704338,10276.42732517789,9431.752183080293,Rage Cat,RAGE,,929213.83100147,https://birdeye.so/token/ABsS3oGRmP123c49PVp9gaN9frmzqGv6E9AYL2mJDRc
49rZGawnSxuCaY61gMMEweABjNvPzwW62Av7R23fJ3CU,2024-04-21 09:01:06-04:00,9.0,1713704466,4548.472491954231,6681.0627560662615,boof,BOOF,,742335.4986476087,https://birdeye.so/token/49rZGawnSxuCaY61gMMEweABjNvPzwW62Av7R23fJ3CU
EbwaqU5RKbLXDHSaUTFAtKBhZvikxDtuCsuvx7Gedg6F,2024-04-21 08:11:27-04:00,6.0,1713701487,2838.9399130246047,2320.476104651097,DogWifBong,BONG,,736558.9440280771,https://birdeye.so/token/EbwaqU5RKbLXDHSaUTFAtKBhZvikxDtuCsuvx7Gedg6F
ExL72PREwYg2qB5dohc9w3ZQt5pyVzoXpWSbjroz4LFk,2024-04-21 09:01:39-04:00,6.0,1713704499,4286.938801558183,5180.8469543913925,SCHRÖDINGER'S CAT,$SDCAT,,671959.2159456487,https://birdeye.so/token/ExL72PREwYg2qB5dohc9w3ZQt5pyVzoXpWSbjroz4LFk
BPduVfvucinVoaAeBsTRLt7TbaVH2xULrwusGXTNo2c2,2024-04-21 08:46:35-04:00,6.0,1713703595,8886.811851188353,7439.519754086989,Fwends,FWENDS,,616208.396198751,https://birdeye.so/token/BPduVfvucinVoaAeBsTRLt7TbaVH2xULrwusGXTNo2c2
Eb54AAR6zSN18WLQWopeR5mDkseynLtrTrT2dVh2Jjzg,2024-04-21 08:51:02-04:00,6.0,1713703862,10011.673622308874,9414.071864504956,Book of Weed,BOW,,560203.6098301129,https://birdeye.so/token/Eb54AAR6zSN18WLQWopeR5mDkseynLtrTrT2dVh2Jjzg
2Z4uRExQo8sULNJ2ZckYe98VVAVDUTDXojfSdUTfCSYR,2024-04-21 08:52:01-04:00,6.0,1713703921,6438.190299122976,4046.6594998708183,Gengz Kan,GENGZ,,437656.7851999887,https://birdeye.so/token/2Z4uRExQo8sULNJ2ZckYe98VVAVDUTDXojfSdUTfCSYR
J4MQRudyTuS4pN3Ff7PWuQPDjinVmQ7duhARaGaXt5Xx,2024-04-21 08:50:22-04:00,6.0,1713703822,2228.55377544108,1540.076001013039,RETOOT,RETOOT,,432560.1744503606,https://birdeye.so/token/J4MQRudyTuS4pN3Ff7PWuQPDjinVmQ7duhARaGaXt5Xx
GbCFL8ozFPTMxyX41BDTG2qjPmAdtEGxC46FqM8zyCHG,2024-04-21 08:37:41-04:00,6.0,1713703061,6632.197635376066,4142.025290853285,cait wif hat,cait,,432224.0073950224,https://birdeye.so/token/GbCFL8ozFPTMxyX41BDTG2qjPmAdtEGxC46FqM8zyCHG
31746eowiRx5zxkGtsZbEp1RVeH6WauEAiFfhBb9L29n,2024-04-21 08:46:13-04:00,6.0,1713703573,7548.595103551523,5418.748491000311,Gojo Cat,GOJO,,425133.2049363384,https://birdeye.so/token/31746eowiRx5zxkGtsZbEp1RVeH6WauEAiFfhBb9L29n
AErYtsmdBXoruzZmE3yBJvejfrdX7jxFkjQZSbrsN8C6,2024-04-21 08:13:01-04:00,6.0,1713701581,6142.30087731885,3684.28379039885,Baked Elawn,BKDELAWN,,416240.93892809295,https://birdeye.so/token/AErYtsmdBXoruzZmE3yBJvejfrdX7jxFkjQZSbrsN8C6
6S3oLWjX99M39YgRzN6PM4NvpunA1ggS9ztTdDpeZm3f,2024-04-21 08:40:27-04:00,6.0,1713703227,6744.74358083378,4392.3279529970605,weed cat fur20,fur20,,412385.1897967317,https://birdeye.so/token/6S3oLWjX99M39YgRzN6PM4NvpunA1ggS9ztTdDpeZm3f
5E9c1zz3AS1j1guN4LyQkdLNFdWqWbSu7YBQ1kHMT2wp,2024-04-21 09:02:01-04:00,6.0,1713704521,6921.9219577245,12704.002891401911,wagmi,WAGMI,,410809.42666588794,https://birdeye.so/token/5E9c1zz3AS1j1guN4LyQkdLNFdWqWbSu7YBQ1kHMT2wp
eCLGyi1xBV6RQwY61WYE5HdsQ38MSFp4C9HrnBXL5Qt,2024-04-21 09:00:15-04:00,6.0,1713704415,2954.484481773061,4216.561047068451,Xi Jenpeng,$JENPENG,,384836.5419943973,https://birdeye.so/token/eCLGyi1xBV6RQwY61WYE5HdsQ38MSFp4C9HrnBXL5Qt
9SAwXfc8tZyjK8pbVzdRhAAqUwH8er58KmcKdkPo1Y2M,2024-04-21 08:56:55-04:00,6.0,1713704215,13680.390270030486,18365.86469689769,Boinence,BENB,,332638.6865477095,https://birdeye.so/token/9SAwXfc8tZyjK8pbVzdRhAAqUwH8er58KmcKdkPo1Y2M
85Jq9xxTm8xVsgT53KRPfX5JqMFEdY9xape9ujdxs9oZ,2024-04-21 09:01:04-04:00,6.0,1713704464,7341.993391812213,5408.456256490984,Chabba,Chabba,,305635.7376466511,https://birdeye.so/token/85Jq9xxTm8xVsgT53KRPfX5JqMFEdY9xape9ujdxs9oZ
hbQizW3xfVsUb1Xiqs8AKhFr7fGoqyLWR34NfAE5fEa,2024-04-21 08:28:37-04:00,8.0,1713702517,2530.387755924746,2147.568477046787,Bonkid,BONKID,,302757.3243290898,https://birdeye.so/token/hbQizW3xfVsUb1Xiqs8AKhFr7fGoqyLWR34NfAE5fEa
6x7oLKvLWeqCqpMYF48vCtxKfom4pJgAQRt6f4vzU7Nv,2024-04-21 08:38:13-04:00,6.0,1713703093,5534.232774588168,3078.7731389259047,Potify,POTIFY,,299022.58864046563,https://birdeye.so/token/6x7oLKvLWeqCqpMYF48vCtxKfom4pJgAQRt6f4vzU7Nv
5hh9G4yyHAkgRoBhAuypg3njckEULUmV197LWycugyJc,2024-04-21 09:00:41-04:00,6.0,1713704441,13715.529291635732,18446.33761893346,$max,max,,294029.27204017213,https://birdeye.so/token/5hh9G4yyHAkgRoBhAuypg3njckEULUmV197LWycugyJc
GcLZ2RHMPD4cYFuKKXJAFVxRCDJX3pQDnwYszwke7t1A,2024-04-21 09:02:15-04:00,9.0,1713704535,3957.1625260844025,5447.7621763952775,ENDY,Endy,,293327.89392450824,https://birdeye.so/token/GcLZ2RHMPD4cYFuKKXJAFVxRCDJX3pQDnwYszwke7t1A
7VEqMtsR2bRFU3g5cMTHuCYHdR6x1cwoVfoQ1uenJVqs,2024-04-21 08:57:24-04:00,6.0,1713704244,6460.945062898909,4177.05244726352,GUMMYWORM,GUMMYWORM,,275905.2366306472,https://birdeye.so/token/7VEqMtsR2bRFU3g5cMTHuCYHdR6x1cwoVfoQ1uenJVqs
G2xo4VXJcwr8jsvxeMvVsvz3yEYaGqmAkA2TdwomvU1L,2024-04-21 08:52:23-04:00,6.0,1713703943,5431.512263939766,4919.430877277033,YMMUG,YMMUG,,262548.16578926245,https://birdeye.so/token/G2xo4VXJcwr8jsvxeMvVsvz3yEYaGqmAkA2TdwomvU1L
7ffamBcanEcTiExcLzLgi4nBLWt2EgSscs4mm2C4914v,2024-04-21 09:02:10-04:00,8.0,1713704530,2164.608722560345,1176.4310507356552,Golden Octopus Dog,GOD,,256156.6965644994,https://birdeye.so/token/7ffamBcanEcTiExcLzLgi4nBLWt2EgSscs4mm2C4914v
DbDab6qBjqZSmVCvFKKdgquqmnDkpBC9kmajj7NQCkB9,2024-04-21 08:20:17-04:00,6.0,1713702017,6339.974508029594,3958.1111187970296,SHIBA WEED INU,WEENU,,242578.82357137016,https://birdeye.so/token/DbDab6qBjqZSmVCvFKKdgquqmnDkpBC9kmajj7NQCkB9
6z277wHLGPxEcLHD58x3uwx5Vk5JgJ54o8AxpeMQzbyE,2024-04-21 09:02:00-04:00,6.0,1713704520,7272.660359445441,5207.641791161873,mistor ponk ,mrponk,,230639.03921557195,https://birdeye.so/token/6z277wHLGPxEcLHD58x3uwx5Vk5JgJ54o8AxpeMQzbyE
